,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Zou Bisou Bisou,Twistin'The Rock Vol 9,Gillian Hills,2002-01-01,135653,0,0.889,0.769,0.483,0.0102,0.0626,-9.177,0.0381,130.991,4
1,Rain Drop Sounds,Rain Drops,Rain Radiance,2019-11-03,43720,28,0.731,0.147,0.759,0.986,0.564,-29.784,0.0824,137.609,3
2,Shahdaroba,In Dreams,Roy Orbison,1963-07,159240,0,0.711,0.482,0.451,0.00131,0.175,-9.285,0.0286,109.323,4
3,Piano Relax,Relaxing Music,Study Radiance,2020-06-05,179336,34,0.928,0.18,0.147,0.814,0.117,-21.187,0.0604,76.433,4
4,Manhattan,Essential Ella,Ella Fitzgerald,1994-01-01,172026,0,0.901,0.431,0.327,0.0,0.187,-8.574,0.031,115.435,3
5,The End of the World,The Essential Skeeter Davis,Skeeter Davis,1994-05-23,157573,60,0.936,0.232,0.216,4.93e-06,0.246,-10.674,0.0314,94.268,3
6,On The Street Where You Live,Mad Men (Music From The Television Series),Various Artists,2008-01-01,162133,0,0.814,0.28,0.526,1.36e-05,0.277,-6.701,0.0338,61.186,4
7,You Don't Have To Say You Love Me,Classic Dusty Springfield - The Universal Masters Collection,Dusty Springfield,2000-01-01,169400,0,0.476,0.268,0.622,0.0,0.0624,-5.416,0.0372,111.538,3
8,Fly Me To The Moon (In Other Words),Mad Men (Music From The Television Series),Various Artists,2008-01-01,151346,0,0.657,0.347,0.577,0.000544,0.0739,-8.637,0.0454,173.176,4
9,"I Can Dream, Can't I?",Mad Men (Music From The Television Series),Various Artists,2008-01-01,160733,0,0.965,0.277,0.162,0.0,0.108,-7.46,0.0291,175.429,4
10,You Only Live Twice,James Bond 007 13 Original Themes,Various Artists,1983,165200,0,0.115,0.188,0.342,9.03e-05,0.0762,-14.212,0.0324,87.892,4
11,There's a Small Hotel,"Music Used in the TV Serie ""Mad Men"" Season Two & Three",Various Artists,2012-07-28,216866,0,0.661,0.364,0.197,0.0,0.403,-12.978,0.0345,103.544,4
12,My Special Angel,Best Of Doo Wop,Various Artists,2008-01-23,181453,0,0.654,0.491,0.309,0.0,0.16,-8.427,0.0252,78.693,4
13,Blue Room,"Music Used in the TV Serie ""Mad Men"" Season Two & Three",Various Artists,2012-07-28,213106,0,0.965,0.227,0.106,0.00679,0.143,-18.214,0.064,74.744,1
14,To Be Loved - Forever,"Music Used in the TV Serie ""Mad Men"" Season Two & Three",Various Artists,2012-07-28,145013,0,0.818,0.492,0.29,0.0,0.263,-10.52,0.0252,67.699,4
15,You,The Very Best Of,The Aquatones,2011-02-01,119480,14,0.852,0.273,0.65,1.06e-06,0.211,-5.055,0.0376,116.14,3
16,Welcome to My World,The Essential Jim Reeves,Jim Reeves,1997-02-14,152600,51,0.725,0.341,0.252,0.0594,0.287,-14.869,0.0288,81.058,4
17,Volare,Mad Men (Music From The Television Series),Various Artists,2008-01-01,160253,0,0.878,0.658,0.226,0.0,0.139,-8.871,0.0493,121.68,4
