,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,DÉJALO,DÉJALO,A.CHAL,2018-11-30,199485,36,0.143,0.805,0.386,0.285,0.111,-10.628,0.213,131.09,4
1,Already High,Vol. 1,Jabriel,2020-08-28,209796,20,0.511,0.407,0.913,0.0,0.113,-5.075,0.246,132.854,5
2,Spectacular Day,Spectacular Day,Coolassppl,2020-08-21,222866,20,0.0468,0.556,0.802,0.0,0.416,-7.066,0.355,140.567,4
3,Chill N.,Chill N.,Coolassppl,2020-07-17,282352,29,0.0746,0.761,0.76,0.0,0.334,-7.887,0.311,101.975,4
4,In My Zone,Tired Of Waiting Vol. 1,Ju Fresh,2020-09-04,225103,12,0.282,0.786,0.621,1.54e-05,0.208,-7.029,0.301,145.062,4
5,Retro Classic,Arrival Times,Jettison Bombardier,2020-06-26,219000,13,0.31,0.398,0.821,0.0,0.205,-2.739,0.307,159.245,4
6,Believe It or Not - Live,Live from Lockdown,Jabriel,2020-05-01,157377,20,0.253,0.777,0.66,0.0,0.0942,-4.73,0.255,122.016,4
7,High Speeds,Young HeartThrob,Kodie Shane,2018-11-09,200093,22,0.00792,0.57,0.793,0.000521,0.288,-6.275,0.214,91.095,4
8,Too Personal,Arrival Times,Jettison Bombardier,2020-06-26,182400,16,0.161,0.588,0.874,0.0,0.594,-3.309,0.319,150.305,4
9,Movie Star,BOOT,Col3trane,2018-08-17,173458,32,0.607,0.46,0.458,3.41e-05,0.464,-9.931,0.105,114.706,5
10,Later Hours,NightSwitch,Ava Scott,2020-06-17,168008,8,0.0835,0.677,0.626,0.000422,0.145,-6.171,0.0584,175.924,4
11,Photo ID,Photo ID,Remi Wolf,2020-04-29,265263,27,0.111,0.822,0.66,0.0,0.143,-3.637,0.0819,113.956,4
12,Bad Company - Live,Live from Lockdown,Jabriel,2020-05-01,244000,18,0.177,0.757,0.565,2.12e-06,0.109,-7.751,0.253,119.981,4
13,Monsters,Arrival Times,Jettison Bombardier,2020-06-26,126450,9,0.699,0.367,0.531,0.0027,0.104,-7.112,0.0448,86.399,4
14,HOUSTONFORNICATION,ASTROWORLD,Travis Scott,2018-08-03,217828,72,0.0985,0.689,0.723,0.0,0.158,-4.052,0.0836,160.042,4
15,World,Endorphins,Octavian,2019-06-13,244825,38,0.413,0.688,0.505,0.00197,0.101,-11.204,0.0773,113.005,4
16,Chilli & Cocoa,Chilli & Cocoa,Gold Member,2020-10-07,255298,18,0.0125,0.634,0.515,0.000357,0.277,-9.791,0.0397,95.084,4
17,Fading,Fading,Tyler Sexton,2020-10-02,167414,4,0.09,0.783,0.567,0.0451,0.206,-6.384,0.0478,102.534,4
18,Handle,Handle,Porsh Bet$,2020-10-06,138183,41,0.0557,0.816,0.611,4.22e-06,0.105,-5.722,0.0546,118.005,4
19,Breakaway - Live,Live from Lockdown,Jabriel,2020-05-01,189152,19,0.205,0.85,0.8,0.0,0.0627,-4.052,0.0725,118.039,4
20,Stay Woke,Stay Woke,A.Heard,2018-04-24,212677,9,0.0879,0.763,0.662,0.0,0.109,-8.509,0.251,119.948,4
21,Pull Up (feat. Joey Bada$$ & A$AP Ferg),Pull Up (feat. Joey Bada$$ & A$AP Ferg),Powers Pleasant,2018-04-11,181826,33,0.0669,0.853,0.602,0.0,0.417,-6.263,0.21,132.978,4
22,When You're Drunk,When You're Drunk,Madison Deaver,2020-05-15,180035,22,0.134,0.621,0.62,0.0,0.106,-7.255,0.231,159.854,4
23,Soju,Soju,ThaKracken,2020-08-02,201600,3,0.0145,0.607,0.801,0.0401,0.269,-5.222,0.105,149.967,4
24,Live Forever,Arrival Times,Jettison Bombardier,2020-06-26,164149,7,0.0554,0.76,0.936,0.000939,0.116,-2.709,0.0722,111.19,4
25,Grown Up,Grown Up,B. Russ,2020-01-17,170187,11,0.0342,0.556,0.692,0.0,0.296,-7.335,0.243,78.982,4
26,Ice Cream - Live,Live from Lockdown,Jabriel,2020-05-01,213333,14,0.586,0.821,0.844,0.00856,0.443,-4.714,0.13,89.978,4
27,Red Rock,Arrival Times,Jettison Bombardier,2020-06-26,156992,8,0.0495,0.802,0.908,4.75e-06,0.452,-1.9,0.143,132.967,4
28,Pick Your Poison,Pick Your Poison,Shy Guy,2020-10-03,243121,2,0.481,0.559,0.669,0.0,0.134,-3.887,0.362,80.47,4
29,Clouds,Clouds,Trippz Michaud,2020-09-09,137137,30,0.0965,0.574,0.733,0.0,0.222,-5.523,0.0384,139.995,4
30,Better Than Ever,Better Than Ever,A.Heard,2019-01-04,223857,21,0.143,0.702,0.647,0.0,0.125,-7.97,0.262,139.945,4
31,Misfit,Misfit,Christopha Gordon,2020-10-09,194629,2,0.407,0.719,0.535,0.00943,0.173,-6.816,0.19,135.064,4
32,Go It Alone,Go It Alone / Devil's Cut,Among The Acres,2020-09-25,187978,27,0.00606,0.632,0.668,0.00335,0.325,-5.517,0.0283,125.956,4
33,Layers,Layers,Animal Sounds,2020-07-03,291734,7,0.0303,0.731,0.711,6.25e-05,0.125,-8.737,0.0409,98.017,4
34,West Broadway Girl,West Broadway Girl,Hermitage Green,2020-10-09,235682,30,0.298,0.697,0.406,1.92e-06,0.185,-8.059,0.0386,74.964,4
35,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,89,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4
36,Hurry Slow,No Rush,Olivia Junholm,2020-02-21,241750,14,0.726,0.733,0.436,0.0,0.159,-9.154,0.0437,89.985,4
37,Floatin' - Mogul Remix,Floatin' (Mogul Remix),Cool Company,2020-10-09,228785,33,0.0659,0.71,0.719,0.000246,0.0814,-7.72,0.0888,107.008,4
38,Sleeping in on Sundays,Sleeping in on Sundays,Dante Palminteri,2020-10-09,218710,5,0.246,0.727,0.5,0.0,0.345,-10.27,0.0978,89.92,4
39,Axel,Axel,Hui.,2020-07-24,238750,14,0.546,0.614,0.528,0.00474,0.143,-9.411,0.166,78.061,4
40,Bad Combination,Arrival Times,Jettison Bombardier,2020-06-26,151741,12,0.415,0.609,0.758,1.07e-05,0.099,-2.499,0.0433,155.048,4
41,Ouch!,Ouch!,Seth 78,2020-10-09,176414,26,0.104,0.646,0.63,1.26e-05,0.714,-5.448,0.152,79.955,4
42,Rutina,Rutina,Myke Towers,2019-12-13,217226,69,0.553,0.834,0.75,6.59e-05,0.263,-2.799,0.18,95.98,4
43,Boxed in,The Index To My Inner Thoughts,L.Teez,2020-09-18,176291,4,0.101,0.415,0.583,1.41e-06,0.266,-11.063,0.323,78.441,4
44,Mexico,Music to Rob Banks to,DJ and EvanJohn,2020-09-25,198560,6,0.254,0.781,0.536,0.0,0.105,-7.579,0.038,120.033,4
45,We Won,We Won,Coolassppl,2019-11-19,256000,15,0.264,0.746,0.737,0.0,0.102,-3.027,0.042,136.005,4
46,2nd fiddle,Wash & Set,Leikeli47,2017-09-08,188920,29,0.0778,0.689,0.792,1.31e-06,0.0914,-5.248,0.326,87.894,4
47,Pilot,Arrival Times,Jettison Bombardier,2020-06-26,236923,19,0.725,0.455,0.916,0.0,0.141,-3.341,0.581,77.871,4
48,Lie,Lie,VICKY T,2020-08-14,176097,9,0.522,0.523,0.384,0.0227,0.109,-10.577,0.12,122.833,4
49,Neighbors,4 Your Eyez Only,J. Cole,2016-12-09,216520,72,0.319,0.898,0.283,0.000383,0.11,-12.335,0.356,138.97,4
50,Eat Cake - Live,Live from Lockdown,Jabriel,2020-05-01,218947,13,0.452,0.638,0.769,6.05e-06,0.141,-6.223,0.273,171.094,4
51,WestSide,WestSide,Shumaq,2020-02-08,126711,36,0.653,0.647,0.486,0.000715,0.0616,-9.757,0.276,90.13,4
52,D.U.I. (Driving Under Introspection),D.U.I. (Driving Under Introspection),Grey Oakes,2020-07-17,178085,17,0.498,0.819,0.673,3.84e-06,0.127,-6.158,0.0563,93.998,4
53,Today,Today,Coolassppl,2020-02-07,247058,13,0.0905,0.752,0.684,0.0,0.309,-4.341,0.101,136.074,4
54,OnlyFans,OnlyFans,Easy Ell,2020-05-22,255000,3,0.464,0.596,0.425,1.15e-06,0.0797,-11.922,0.0432,80.074,4
55,World Spinning,World Spinning,Coolassppl,2020-01-03,268003,14,0.00921,0.636,0.755,3.31e-06,0.302,-7.325,0.291,89.496,4
56,Thank the Gang,Thank the Gang,Twelve'len,2019-05-15,173333,42,0.124,0.727,0.576,0.0,0.406,-8.28,0.0747,108.022,4
